date,clicks,repository_id
2017-07-19,1633,university_new_mexico
2017-07-20,1654,university_new_mexico
2017-07-21,1169,university_new_mexico
2017-07-22,933,university_new_mexico
2017-07-23,1108,university_new_mexico
2017-07-24,1512,university_new_mexico
2017-07-25,1406,university_new_mexico
2017-07-26,1355,university_new_mexico
2017-07-27,1229,university_new_mexico
2017-07-28,917,university_new_mexico
2017-07-29,678,university_new_mexico
2017-07-30,931,university_new_mexico
2017-07-31,1121,university_new_mexico
2017-08-01,955,university_new_mexico
2017-08-02,987,university_new_mexico
2017-08-03,957,university_new_mexico
2017-08-04,709,university_new_mexico
2017-08-05,588,university_new_mexico
2017-08-06,660,university_new_mexico
2017-08-07,928,university_new_mexico
2017-08-08,1069,university_new_mexico
2017-08-09,1139,university_new_mexico
2017-08-10,1011,university_new_mexico
2017-08-11,826,university_new_mexico
2017-08-12,650,university_new_mexico
2017-08-13,837,university_new_mexico
2017-08-14,1155,university_new_mexico
2017-08-15,1163,university_new_mexico
2017-08-16,1138,university_new_mexico
2017-08-17,1123,university_new_mexico
2017-08-18,867,university_new_mexico
2017-08-19,647,university_new_mexico
2017-08-20,841,university_new_mexico
2017-08-21,1139,university_new_mexico
2017-08-22,1290,university_new_mexico
2017-08-23,1296,university_new_mexico
2017-08-24,1253,university_new_mexico
2017-08-25,927,university_new_mexico
2017-08-26,691,university_new_mexico
2017-08-27,971,university_new_mexico
2017-08-28,1371,university_new_mexico
2017-08-29,1355,university_new_mexico
2017-08-30,1378,university_new_mexico
2017-08-31,1312,university_new_mexico
2017-09-01,963,university_new_mexico
2017-09-02,741,university_new_mexico
2017-09-03,1005,university_new_mexico
2017-09-04,1313,university_new_mexico
2017-09-05,1445,university_new_mexico
2017-09-06,1459,university_new_mexico
2017-09-07,1318,university_new_mexico
2017-09-08,1117,university_new_mexico
2017-09-09,855,university_new_mexico
2017-09-10,1043,university_new_mexico
2017-09-11,1575,university_new_mexico
2017-09-12,1495,university_new_mexico
2017-09-13,1478,university_new_mexico
2017-09-14,1386,university_new_mexico
2017-09-15,1096,university_new_mexico
2017-09-16,858,university_new_mexico
2017-09-17,1147,university_new_mexico
2017-09-18,1415,university_new_mexico
2017-09-19,1499,university_new_mexico
2017-09-20,1482,university_new_mexico
2017-09-21,1363,university_new_mexico
2017-09-22,1121,university_new_mexico
2017-09-23,819,university_new_mexico
2017-09-24,1247,university_new_mexico
2017-09-25,1663,university_new_mexico
2017-09-26,1553,university_new_mexico
2017-09-27,1524,university_new_mexico
2017-09-28,1398,university_new_mexico
2017-09-29,1147,university_new_mexico
2017-09-30,867,university_new_mexico
2017-10-01,1124,university_new_mexico
2017-10-02,1646,university_new_mexico
2017-10-03,1576,university_new_mexico
2017-10-04,1604,university_new_mexico
2017-10-05,1394,university_new_mexico
2017-10-06,1154,university_new_mexico
2017-10-07,796,university_new_mexico
2017-10-08,1077,university_new_mexico
2017-10-09,1619,university_new_mexico
2017-10-10,1625,university_new_mexico
2017-10-11,1683,university_new_mexico
2017-10-12,1552,university_new_mexico
2017-10-13,1198,university_new_mexico
2017-10-14,843,university_new_mexico
2017-10-15,1217,university_new_mexico
2017-10-16,1643,university_new_mexico
2017-10-17,1710,university_new_mexico
2017-10-18,1680,university_new_mexico
2017-10-19,1559,university_new_mexico
2017-10-20,1271,university_new_mexico
2017-10-21,975,university_new_mexico
2017-10-22,1280,university_new_mexico
2017-10-23,1844,university_new_mexico
2017-10-24,1777,university_new_mexico
2017-10-25,1790,university_new_mexico
2017-10-26,1558,university_new_mexico
2017-10-27,1205,university_new_mexico
2017-10-28,866,university_new_mexico
2017-10-29,1221,university_new_mexico
2017-10-30,1631,university_new_mexico
2017-10-31,1482,university_new_mexico
2017-11-01,1358,university_new_mexico
2017-11-02,1364,university_new_mexico
2017-11-03,1241,university_new_mexico
2017-11-04,947,university_new_mexico
2017-11-05,1237,university_new_mexico
2017-11-06,1760,university_new_mexico
2017-11-09,1658,university_new_mexico
2017-11-10,1269,university_new_mexico
2017-11-11,994,university_new_mexico
2017-11-12,1373,university_new_mexico
2017-11-13,1907,university_new_mexico
2017-11-14,1903,university_new_mexico
2017-11-15,1812,university_new_mexico
2017-11-16,1668,university_new_mexico
2017-11-17,1261,university_new_mexico
2017-11-18,1036,university_new_mexico
2017-11-19,1336,university_new_mexico
2017-11-20,5,university_new_mexico
2017-11-21,1684,university_new_mexico
2017-11-22,1546,university_new_mexico
2017-11-23,1271,university_new_mexico
2017-11-24,1010,university_new_mexico
2017-11-25,1059,university_new_mexico
2017-11-26,1332,university_new_mexico
2017-11-27,1809,university_new_mexico
2017-11-28,1784,university_new_mexico
2017-11-29,1824,university_new_mexico
2017-11-30,1547,university_new_mexico
2017-12-01,1133,university_new_mexico
2017-12-02,844,university_new_mexico
2017-12-03,1251,university_new_mexico
2017-12-04,1625,university_new_mexico
2017-12-05,1441,university_new_mexico
2017-12-06,1500,university_new_mexico
2017-12-07,1252,university_new_mexico
2017-12-08,1034,university_new_mexico
2017-12-09,877,university_new_mexico
2017-12-10,1175,university_new_mexico
2017-12-11,1383,university_new_mexico
2017-12-12,1412,university_new_mexico
2017-12-13,1240,university_new_mexico
2017-12-14,1201,university_new_mexico
2017-12-15,918,university_new_mexico
2017-12-16,595,university_new_mexico
2017-12-17,805,university_new_mexico
2017-12-18,1061,university_new_mexico
2017-12-19,1057,university_new_mexico
2017-12-20,947,university_new_mexico
2017-12-21,849,university_new_mexico
2017-12-22,626,university_new_mexico
2017-12-23,443,university_new_mexico
2017-12-24,418,university_new_mexico
2017-12-25,431,university_new_mexico
